Country,Year,Value,Resource,Metric
Saudi Arabia,1966.0,2617.8000000000006,Oil,Production
Syria,1966.0,0.0,Oil,Production
United Arab Emirates,1966.0,360.0,Oil,Production
Yemen,1966.0,0.0,Oil,Production
Other Middle East,1966.0,65.76109589041097,Oil,Production
Total Middle East,1966.0,9363.561095890413,Oil,Production
Algeria,1966.0,733.5931506849315,Oil,Production
Angola,1966.0,12.810164383561643,Oil,Production
Chad,1966.0,0.0,Oil,Production
Republic of Congo ,1966.0,1.2026301369863015,Oil,Production
Egypt,1966.0,121.7115068493151,Oil,Production
Equatorial Guinea,1966.0,0.0,Oil,Production
Gabon,1966.0,28.979643835616443,Oil,Production
Libya,1966.0,1508.0000000000002,Oil,Production
Nigeria,1966.0,417.6,Oil,Production
South Sudan,1966.0,0.0,Oil,Production
Sudan,1966.0,0.0,Oil,Production
Tunisia,1966.0,16.243808219178085,Oil,Production
Other Africa,1966.0,2.139013698630137,Oil,Production
Total Africa,1966.0,2842.2799178082196,Oil,Production
Australia,1966.0,9.0,Oil,Production
Brunei,1966.0,96.00000000000001,Oil,Production
China,1966.0,292.19589041095895,Oil,Production
India,1966.0,95.86824657534248,Oil,Production
Indonesia,1966.0,474.00000000000006,Oil,Production
Malaysia,1966.0,1.0,Oil,Production
Thailand,1966.0,0.0,Oil,Production
Vietnam,1966.0,0.0,Oil,Production
Other Asia Pacific,1966.0,34.08547945205479,Oil,Production
Total Asia Pacific,1966.0,1002.1496164383562,Oil,Production
Total World,1966.0,34560.92941643836,Oil,Production
of which: OECD,1966.0,11677.425663013697,Oil,Production
                 Non-OECD,1966.0,22883.503753424662,Oil,Production
                 OPEC,1966.0,15098.175424657536,Oil,Production
                 Non-OPEC ,1966.0,19462.753991780824,Oil,Production
                 European Union #,1966.0,695.6394027397262,Oil,Production
Canada,1967.0,1106.0,Oil,Production
Mexico,1967.0,411.0,Oil,Production
US,1967.0,10219.252,Oil,Production
Total North America,1967.0,11736.252,Oil,Production
Argentina,1967.0,318.6312328767123,Oil,Production
Brazil,1967.0,147.05,Oil,Production
Colombia,1967.0,192.0,Oil,Production
Ecuador,1967.0,6.000000000000001,Oil,Production
Guyana,1967.0,0.0,Oil,Production
Peru,1967.0,74.0,Oil,Production
Trinidad & Tobago,1967.0,179.0,Oil,Production
Venezuela,1967.0,3576.0,Oil,Production
Other S. & Cent. America,1967.0,78.21424657534249,Oil,Production
Total S. & Cent. America,1967.0,4570.895479452055,Oil,Production
Denmark,1967.0,0.0,Oil,Production
Italy,1967.0,36.55973698630137,Oil,Production
Norway,1967.0,0.0,Oil,Production
Romania,1967.0,278.84126027397264,Oil,Production
United Kingdom,1967.0,1.8433972602739723,Oil,Production
Other Europe,1967.0,506.99183561643844,Oil,Production
Total Europe,1967.0,824.2362301369864,Oil,Production
Azerbaijan,1967.0,0.0,Oil,Production
Kazakhstan,1967.0,0.0,Oil,Production
Russian Federation,1967.0,0.0,Oil,Production
Turkmenistan,1967.0,0.0,Oil,Production
Uzbekistan,1967.0,0.0,Oil,Production
Other CIS,1967.0,0.0,Oil,Production
Total CIS,1967.0,5762.0,Oil,Production
Iran,1967.0,2603.0,Oil,Production
Iraq,1967.0,1227.9999999999998,Oil,Production
Kuwait,1967.0,2522.0,Oil,Production
Oman,1967.0,56.99999999999999,Oil,Production
Qatar,1967.0,324.0,Oil,Production
Saudi Arabia,1967.0,2824.9999999999995,Oil,Production
Syria,1967.0,0.0,Oil,Production
United Arab Emirates,1967.0,382.1,Oil,Production
Yemen,1967.0,0.0,Oil,Production
Other Middle East,1967.0,72.97753424657535,Oil,Production
Total Middle East,1967.0,10014.077534246575,Oil,Production
Algeria,1967.0,842.6643835616438,Oil,Production
Angola,1967.0,10.901835616438358,Oil,Production
Chad,1967.0,0.0,Oil,Production
Republic of Congo ,1967.0,0.9698630136986303,Oil,Production
Egypt,1967.0,108.56191780821919,Oil,Production
Equatorial Guinea,1967.0,0.0,Oil,Production
Gabon,1967.0,68.99438356164384,Oil,Production
Libya,1967.0,1733.0000000000002,Oil,Production
Nigeria,1967.0,319.1,Oil,Production
South Sudan,1967.0,0.0,Oil,Production
Sudan,1967.0,0.0,Oil,Production
Tunisia,1967.0,47.21449315068493,Oil,Production
Other Africa,1967.0,2.0559452054794525,Oil,Production
Total Africa,1967.0,3133.462821917808,Oil,Production
Australia,1967.0,21.000000000000004,Oil,Production
Brunei,1967.0,104.00000000000001,Oil,Production
China,1967.0,278.74082191780826,Oil,Production
India,1967.0,116.91098630136987,Oil,Production
Indonesia,1967.0,510.0,Oil,Production
Malaysia,1967.0,1.0,Oil,Production
Thailand,1967.0,0.0,Oil,Production
Vietnam,1967.0,0.0,Oil,Production
Other Asia Pacific,1967.0,31.085479452054795,Oil,Production
Total Asia Pacific,1967.0,1062.7372876712332,Oil,Production
Total World,1967.0,37103.66135342465,Oil,Production
of which: OECD,1967.0,12464.86255890411,Oil,Production
                 Non-OECD,1967.0,24638.798794520546,Oil,Production
                 OPEC,1967.0,16100.828630136988,Oil,Production
                 Non-OPEC ,1967.0,21002.83272328767,Oil,Production
                 European Union #,1967.0,702.7129424657535,Oil,Production
Canada,1968.0,1194.0,Oil,Production
Mexico,1968.0,439.0,Oil,Production
US,1968.0,10599.742999999999,Oil,Production
Total North America,1968.0,12232.742999999999,Oil,Production
Argentina,1968.0,348.1584699453552,Oil,Production
Brazil,1968.0,161.04999999999998,Oil,Production
Colombia,1968.0,176.00000000000003,Oil,Production
Ecuador,1968.0,5.0,Oil,Production
Guyana,1968.0,0.0,Oil,Production
Peru,1968.0,77.0,Oil,Production
Trinidad & Tobago,1968.0,190.99999999999997,Oil,Production
Venezuela,1968.0,3639.0,Oil,Production
Other S. & Cent. America,1968.0,84.57131147540983,Oil,Production
Total S. & Cent. America,1968.0,4681.779781420765,Oil,Production
Denmark,1968.0,0.0,Oil,Production
Italy,1968.0,34.582825136612016,Oil,Production
Norway,1968.0,0.0,Oil,Production
Romania,1968.0,279.70040983606555,Oil,Production
United Kingdom,1968.0,1.735081967213115,Oil,Production
Other Europe,1968.0,517.6376775956285,Oil,Production
Total Europe,1968.0,833.6559945355192,Oil,Production
Azerbaijan,1968.0,0.0,Oil,Production
Kazakhstan,1968.0,0.0,Oil,Production
Russian Federation,1968.0,0.0,Oil,Production
Turkmenistan,1968.0,0.0,Oil,Production
Uzbekistan,1968.0,0.0,Oil,Production
Other CIS,1968.0,0.0,Oil,Production
Total CIS,1968.0,6167.103825136612,Oil,Production
Iran,1968.0,2839.9999999999995,Oil,Production
Iraq,1968.0,1503.0000000000002,Oil,Production
Kuwait,1968.0,2656.0,Oil,Production
Oman,1968.0,241.0,Oil,Production
Qatar,1968.0,339.99999999999994,Oil,Production
Saudi Arabia,1968.0,3080.900000000001,Oil,Production
Syria,1968.0,20.999999999999996,Oil,Production
United Arab Emirates,1968.0,496.6,Oil,Production
Yemen,1968.0,0.0,Oil,Production
Other Middle East,1968.0,77.96939890710384,Oil,Production
Total Middle East,1968.0,11256.469398907106,Oil,Production
Algeria,1968.0,922.4950819672132,Oil,Production
Angola,1968.0,15.184426229508198,Oil,Production
Chad,1968.0,0.0,Oil,Production
Republic of Congo ,1968.0,0.8318032786885248,Oil,Production
Egypt,1968.0,166.38442622950822,Oil,Production
Equatorial Guinea,1968.0,0.0,Oil,Production
Gabon,1968.0,92.69319672131147,Oil,Production
Libya,1968.0,2598.9999999999995,Oil,Production
Nigeria,1968.0,141.3,Oil,Production
South Sudan,1968.0,0.0,Oil,Production
Sudan,1968.0,0.0,Oil,Production
Tunisia,1968.0,67.04587431693989,Oil,Production
Other Africa,1968.0,1.843224043715847,Oil,Production
Total Africa,1968.0,4006.7780327868845,Oil,Production
Australia,1968.0,39.0,Oil,Production
Brunei,1968.0,122.0,Oil,Production
China,1968.0,320.23688524590165,Oil,Production
India,1968.0,120.4182786885246,Oil,Production
Indonesia,1968.0,599.0,Oil,Production
Malaysia,1968.0,4.0,Oil,Production
Thailand,1968.0,0.0,Oil,Production
Vietnam,1968.0,0.0,Oil,Production
Other Asia Pacific,1968.0,35.113661202185796,Oil,Production
Total Asia Pacific,1968.0,1239.7688251366121,Oil,Production
Total World,1968.0,40418.298857923495,Oil,Production
of which: OECD,1968.0,12971.331945355192,Oil,Production
                 Non-OECD,1968.0,27446.966912568303,Oil,Production
                 OPEC,1968.0,17971.820081967213,Oil,Production
                 Non-OPEC ,1968.0,22446.478775956282,Oil,Production
                 European Union #,1968.0,700.5332622950818,Oil,Production
Canada,1969.0,1306.0,Oil,Production
Mexico,1969.0,460.99999999999994,Oil,Production
US,1969.0,10827.674,Oil,Production
Total North America,1969.0,12594.674,Oil,Production
Argentina,1969.0,361.53205479452055,Oil,Production
Brazil,1969.0,176.05,Oil,Production
Colombia,1969.0,214.0,Oil,Production
Ecuador,1969.0,4.000000000000001,Oil,Production
Guyana,1969.0,0.0,Oil,Production
Peru,1969.0,74.99999999999999,Oil,Production
Trinidad & Tobago,1969.0,157.0,Oil,Production
Venezuela,1969.0,3631.0,Oil,Production
Other S. & Cent. America,1969.0,83.80465753424659,Oil,Production
Total S. & Cent. America,1969.0,4702.386712328767,Oil,Production
Denmark,1969.0,0.0,Oil,Production
Italy,1969.0,33.86123561643836,Oil,Production
Norway,1969.0,0.0,Oil,Production
Romania,1969.0,281.0889315068493,Oil,Production
United Kingdom,1969.0,1.792109589041096,Oil,Production
Other Europe,1969.0,530.0449589041094,Oil,Production
Total Europe,1969.0,846.7872356164381,Oil,Production
Azerbaijan,1969.0,0.0,Oil,Production
Kazakhstan,1969.0,0.0,Oil,Production
Russian Federation,1969.0,0.0,Oil,Production
Turkmenistan,1969.0,0.0,Oil,Production
Uzbekistan,1969.0,0.0,Oil,Production
Other CIS,1969.0,0.0,Oil,Production
Total CIS,1969.0,6566.0,Oil,Production
Iran,1969.0,3376.0,Oil,Production
Iraq,1969.0,1521.0,Oil,Production
Kuwait,1969.0,2819.0000000000005,Oil,Production
Oman,1969.0,327.0,Oil,Production
Qatar,1969.0,356.0,Oil,Production
Saudi Arabia,1969.0,3262.2,Oil,Production
Syria,1969.0,53.00000000000001,Oil,Production
United Arab Emirates,1969.0,627.8,Oil,Production
Yemen,1969.0,0.0,Oil,Production
Other Middle East,1969.0,77.95890410958906,Oil,Production
Total Middle East,1969.0,12419.95890410959,Oil,Production
Algeria,1969.0,969.3315068493152,Oil,Production
Angola,1969.0,49.90076712328768,Oil,Production
Chad,1969.0,0.0,Oil,Production
Republic of Congo ,1969.0,0.46553424657534254,Oil,Production
Egypt,1969.0,239.16301369863012,Oil,Production
Equatorial Guinea,1969.0,0.0,Oil,Production
Gabon,1969.0,100.67772602739727,Oil,Production
Libya,1969.0,3107.9999999999995,Oil,Production
Nigeria,1969.0,540.3,Oil,Production
South Sudan,1969.0,0.0,Oil,Production
Sudan,1969.0,0.0,Oil,Production
Tunisia,1969.0,78.10090410958905,Oil,Production
Other Africa,1969.0,1.2044931506849317,Oil,Production
Total Africa,1969.0,5087.143945205478,Oil,Production
Australia,1969.0,45.0,Oil,Production
Brunei,1969.0,124.0,Oil,Production
China,1969.0,436.58684931506855,Oil,Production
India,1969.0,138.69641095890412,Oil,Production
Indonesia,1969.0,641.9999999999999,Oil,Production
Malaysia,1969.0,9.0,Oil,Production
Thailand,1969.0,0.0,Oil,Production
Vietnam,1969.0,0.0,Oil,Production
Other Asia Pacific,1969.0,36.42739726027397,Oil,Production
Total Asia Pacific,1969.0,1431.7106575342466,Oil,Production
Total World,1969.0,43648.66145479452,Oil,Production
of which: OECD,1969.0,13383.780002739726,Oil,Production
                 Non-OECD,1969.0,30264.881452054793,Oil,Production
                 OPEC,1969.0,19955.774767123286,Oil,Production
                 Non-OPEC ,1969.0,23692.88668767123,Oil,Production
                 European Union #,1969.0,696.4227150684931,Oil,Production
Canada,1970.0,1473.0,Oil,Production
Mexico,1970.0,487.0,Oil,Production
US,1970.0,11296.849,Oil,Production
Total North America,1970.0,13256.849,Oil,Production
Argentina,1970.0,399.46465753424656,Oil,Production
Brazil,1970.0,166.68103068071915,Oil,Production
Colombia,1970.0,226.0,Oil,Production
Ecuador,1970.0,4.000000000000001,Oil,Production
Guyana,1970.0,0.0,Oil,Production
Peru,1970.0,74.97260273972603,Oil,Production
Trinidad & Tobago,1970.0,140.0,Oil,Production
Venezuela,1970.0,3754.0,Oil,Production
Other S. & Cent. America,1970.0,63.94671232876713,Oil,Production
Total S. & Cent. America,1970.0,4829.065003283459,Oil,Production
Denmark,1970.0,0.0,Oil,Production
Italy,1970.0,31.899301369863014,Oil,Production
Norway,1970.0,0.0,Oil,Production
Romania,1970.0,283.784301369863,Oil,Production
United Kingdom,1970.0,3.5191232876712326,Oil,Production
Other Europe,1970.0,528.2369589041095,Oil,Production
Total Europe,1970.0,847.439684931507,Oil,Production
Azerbaijan,1970.0,0.0,Oil,Production
Kazakhstan,1970.0,0.0,Oil,Production
Russian Federation,1970.0,0.0,Oil,Production
Turkmenistan,1970.0,0.0,Oil,Production
Uzbekistan,1970.0,0.0,Oil,Production
Other CIS,1970.0,0.0,Oil,Production
Total CIS,1970.0,7126.746301369863,Oil,Production
Iran,1970.0,3847.659726027397,Oil,Production
Iraq,1970.0,1549.0,Oil,Production
Kuwait,1970.0,3036.0,Oil,Production
Oman,1970.0,332.0,Oil,Production
Qatar,1970.0,363.0,Oil,Production
Saudi Arabia,1970.0,3851.1,Oil,Production
Syria,1970.0,85.0,Oil,Production
United Arab Emirates,1970.0,779.6,Oil,Production
Yemen,1970.0,0.0,Oil,Production
Other Middle East,1970.0,78.5377397260274,Oil,Production
Total Middle East,1970.0,13921.897465753425,Oil,Production
Algeria,1970.0,1053.9268493150682,Oil,Production
Angola,1970.0,102.8264383561644,Oil,Production
Chad,1970.0,0.0,Oil,Production
Republic of Congo ,1970.0,0.36854794520547945,Oil,Production
Egypt,1970.0,319.09150684931507,Oil,Production
Equatorial Guinea,1970.0,0.0,Oil,Production
Gabon,1970.0,108.60857534246577,Oil,Production
Libya,1970.0,3357.0,Oil,Production
Nigeria,1970.0,1083.1,Oil,Production
South Sudan,1970.0,0.0,Oil,Production
Sudan,1970.0,0.0,Oil,Production
Tunisia,1970.0,87.45531506849315,Oil,Production
Other Africa,1970.0,0.9137534246575342,Oil,Production
Total Africa,1970.0,6113.29098630137,Oil,Production
Australia,1970.0,175.99999999999997,Oil,Production
Brunei,1970.0,136.00000000000003,Oil,Production
China,1970.0,615.5191780821917,Oil,Production
India,1970.0,140.47060273972605,Oil,Production
Indonesia,1970.0,854.0000000000001,Oil,Production
Malaysia,1970.0,18.0,Oil,Production
Thailand,1970.0,0.0,Oil,Production
Vietnam,1970.0,0.0,Oil,Production
Other Asia Pacific,1970.0,39.505315068493154,Oil,Production
Total Asia Pacific,1970.0,1979.495095890411,Oil,Production
Total World,1970.0,48074.783537530035,Oil,Production
of which: OECD,1970.0,14177.9368630137,Oil,Production
                 Non-OECD,1970.0,33896.84667451633,Oil,Production
                 OPEC,1970.0,22420.363698630135,Oil,Production
                 Non-OPEC ,1970.0,25654.419838899903,Oil,Production
                 European Union #,1970.0,689.9916301369864,Oil,Production
Canada,1971.0,1582.0,Oil,Production
Mexico,1971.0,486.0,Oil,Production
US,1971.0,11155.778,Oil,Production
Total North America,1971.0,13223.778,Oil,Production
Argentina,1971.0,431.53808219178086,Oil,Production
Brazil,1971.0,174.84500140635296,Oil,Production
Colombia,1971.0,224.0,Oil,Production
Ecuador,1971.0,4.000000000000001,Oil,Production
Guyana,1971.0,0.0,Oil,Production
Peru,1971.0,63.88219178082192,Oil,Production
Trinidad & Tobago,1971.0,129.0,Oil,Production
Venezuela,1971.0,3615.0,Oil,Production
Other S. & Cent. America,1971.0,80.38465753424657,Oil,Production
Total S. & Cent. America,1971.0,4722.649932913202,Oil,Production
Denmark,1971.0,0.0,Oil,Production
Italy,1971.0,28.538024657534244,Oil,Production
Norway,1971.0,6.0,Oil,Production
Romania,1971.0,292.34364383561643,Oil,Production
United Kingdom,1971.0,4.899945205479452,Oil,Production
Other Europe,1971.0,509.31172602739724,Oil,Production
Total Europe,1971.0,841.0933397260274,Oil,Production
Azerbaijan,1971.0,0.0,Oil,Production
Kazakhstan,1971.0,0.0,Oil,Production
Russian Federation,1971.0,0.0,Oil,Production
Turkmenistan,1971.0,0.0,Oil,Production
Uzbekistan,1971.0,0.0,Oil,Production
Other CIS,1971.0,0.0,Oil,Production
Total CIS,1971.0,7610.459178082193,Oil,Production
Iran,1971.0,4572.421917808219,Oil,Production
Iraq,1971.0,1694.0000000000002,Oil,Production
Kuwait,1971.0,3253.0000000000005,Oil,Production
Oman,1971.0,294.0,Oil,Production
Qatar,1971.0,430.0,Oil,Production
Saudi Arabia,1971.0,4820.9,Oil,Production
Syria,1971.0,106.00000000000001,Oil,Production
United Arab Emirates,1971.0,1059.5000000000002,Oil,Production
Yemen,1971.0,0.0,Oil,Production
Other Middle East,1971.0,76.20080821917809,Oil,Production
Total Middle East,1971.0,16306.0227260274,Oil,Production
Algeria,1971.0,802.5873972602742,Oil,Production
Angola,1971.0,116.14413698630139,Oil,Production
Chad,1971.0,0.0,Oil,Production
Republic of Congo ,1971.0,0.27156164383561643,Oil,Production
Egypt,1971.0,290.84712328767125,Oil,Production
Equatorial Guinea,1971.0,0.0,Oil,Production
Gabon,1971.0,116.05876712328768,Oil,Production
Libya,1971.0,2750.0000000000005,Oil,Production
Nigeria,1971.0,1531.1999999999996,Oil,Production
South Sudan,1971.0,0.0,Oil,Production
Sudan,1971.0,0.0,Oil,Production
Tunisia,1971.0,86.57043835616439,Oil,Production
Other Africa,1971.0,0.47764383561643836,Oil,Production
Total Africa,1971.0,5694.157068493151,Oil,Production
Australia,1971.0,315.0,Oil,Production
Brunei,1971.0,129.00000000000003,Oil,Production
China,1971.0,791.4391780821919,Oil,Production
India,1971.0,148.22753424657535,Oil,Production
Indonesia,1971.0,892.0,Oil,Production
Malaysia,1971.0,69.0,Oil,Production
Thailand,1971.0,0.0,Oil,Production
Vietnam,1971.0,0.0,Oil,Production
Other Asia Pacific,1971.0,42.41753424657535,Oil,Production
Total Asia Pacific,1971.0,2387.0842465753426,Oil,Production
Total World,1971.0,50785.24449181731,Oil,Production
of which: OECD,1971.0,14268.742997260271,Oil,Production
                 Non-OECD,1971.0,36516.501494557044,Oil,Production
                 OPEC,1971.0,24214.93964383562,Oil,Production
                 Non-OPEC ,1971.0,26570.304847981704,Oil,Production
                 European Union #,1971.0,671.7922712328767,Oil,Production
Canada,1972.0,1829.0,Oil,Production
Mexico,1972.0,506.0,Oil,Production
US,1972.0,11184.896,Oil,Production
Total North America,1972.0,13519.896,Oil,Production
Argentina,1972.0,444.1158469945355,Oil,Production
Brazil,1972.0,171.18629060820848,Oil,Production
Colombia,1972.0,203.0,Oil,Production
Ecuador,1972.0,78.0,Oil,Production
Guyana,1972.0,0.0,Oil,Production
Peru,1972.0,66.60109289617486,Oil,Production
Trinidad & Tobago,1972.0,141.0,Oil,Production
Venezuela,1972.0,3301.0000000000005,Oil,Production
Other S. & Cent. America,1972.0,89.23715846994536,Oil,Production
Total S. & Cent. America,1972.0,4494.1403889688645,Oil,Production
Denmark,1972.0,2.0000000000000004,Oil,Production
Italy,1972.0,25.47182513661202,Oil,Production
Norway,1972.0,33.0,Oil,Production
Romania,1972.0,298.41879781420766,Oil,Production
United Kingdom,1972.0,7.861967213114754,Oil,Production
Other Europe,1972.0,504.3140163934426,Oil,Production
Total Europe,1972.0,871.066606557377,Oil,Production
Azerbaijan,1972.0,0.0,Oil,Production
Kazakhstan,1972.0,0.0,Oil,Production
Russian Federation,1972.0,0.0,Oil,Production
Turkmenistan,1972.0,0.0,Oil,Production
Uzbekistan,1972.0,0.0,Oil,Production
Other CIS,1972.0,0.0,Oil,Production
Total CIS,1972.0,8064.128415300546,Oil,Production
Iran,1972.0,5058.957377049181,Oil,Production
Iraq,1972.0,1466.0,Oil,Production
Kuwait,1972.0,3339.0,Oil,Production
Oman,1972.0,282.0,Oil,Production
Qatar,1972.0,481.99999999999994,Oil,Production
Saudi Arabia,1972.0,6070.300000000001,Oil,Production
Syria,1972.0,116.99999999999999,Oil,Production
United Arab Emirates,1972.0,1202.7,Oil,Production
Yemen,1972.0,0.0,Oil,Production
Other Middle East,1972.0,70.92989071038251,Oil,Production
Total Middle East,1972.0,18088.887267759565,Oil,Production
Algeria,1972.0,1081.0491803278687,Oil,Production
Angola,1972.0,142.87532786885248,Oil,Production
Chad,1972.0,0.0,Oil,Production
Republic of Congo ,1972.0,6.499672131147541,Oil,Production
Egypt,1972.0,207.9562841530055,Oil,Production
Equatorial Guinea,1972.0,0.0,Oil,Production
Gabon,1972.0,125.8877868852459,Oil,Production
Libya,1972.0,2247.9999999999995,Oil,Production
Nigeria,1972.0,1815.7000000000003,Oil,Production
South Sudan,1972.0,0.0,Oil,Production
Sudan,1972.0,0.0,Oil,Production
Tunisia,1972.0,83.56046448087432,Oil,Production
Other Africa,1972.0,0.5798907103825137,Oil,Production
Total Africa,1972.0,5712.108606557377,Oil,Production
Australia,1972.0,337.0,Oil,Production
Brunei,1972.0,182.00000000000003,Oil,Production
China,1972.0,914.6478142076502,Oil,Production
India,1972.0,151.6904098360656,Oil,Production
Indonesia,1972.0,1080.9999999999998,Oil,Production
Malaysia,1972.0,93.0,Oil,Production
Thailand,1972.0,0.0,Oil,Production
Vietnam,1972.0,0.0,Oil,Production
Other Asia Pacific,1972.0,44.29967213114753,Oil,Production
Total Asia Pacific,1972.0,2803.6378961748633,Oil,Production
Total World,1972.0,53553.86518131859,Oil,Production
of which: OECD,1972.0,14580.01643169399,Oil,Production
                 Non-OECD,1972.0,38973.848749624594,Oil,Production
                 OPEC,1972.0,25715.094016393447,Oil,Production
                 Non-OPEC ,1972.0,27838.77116492515,Oil,Production
                 European Union #,1972.0,660.5240928961748,Oil,Production
Canada,1973.0,2113.9999999999995,Oil,Production
Mexico,1973.0,525.0,Oil,Production
US,1973.0,10945.953,Oil,Production
Total North America,1973.0,13584.953,Oil,Production
Argentina,1973.0,433.63561643835624,Oil,Production
Brazil,1973.0,173.98620402430774,Oil,Production
Colombia,1973.0,191.99999999999997,Oil,Production
Ecuador,1973.0,209.00000000000003,Oil,Production
Guyana,1973.0,0.0,Oil,Production
Peru,1973.0,72.59178082191781,Oil,Production
Trinidad & Tobago,1973.0,166.0,Oil,Production
Venezuela,1973.0,3455.0,Oil,Production
Other S. & Cent. America,1973.0,89.73890410958904,Oil,Production
Total S. & Cent. America,1973.0,4791.952505394171,Oil,Production
Denmark,1973.0,3.0,Oil,Production
Italy,1973.0,23.356471232876714,Oil,Production
Norway,1973.0,32.00000000000001,Oil,Production
Romania,1973.0,303.9325205479452,Oil,Production
United Kingdom,1973.0,8.825424657534246,Oil,Production
