Country Code,Year,Variable,Value
JPN,2019.0,v2x_polyarchy,0.838
JPN,2020.0,v2x_polyarchy,0.836
JPN,2021.0,v2x_polyarchy,0.827
JPN,2022.0,v2x_polyarchy,0.823
JPN,2023.0,v2x_polyarchy,0.828
JPN,2024.0,v2x_polyarchy,0.82
MMR,1995.0,v2x_polyarchy,0.094
MMR,1996.0,v2x_polyarchy,0.094
MMR,1997.0,v2x_polyarchy,0.094
MMR,1998.0,v2x_polyarchy,0.094
MMR,1999.0,v2x_polyarchy,0.094
MMR,2000.0,v2x_polyarchy,0.094
MMR,2001.0,v2x_polyarchy,0.094
MMR,2002.0,v2x_polyarchy,0.094
MMR,2003.0,v2x_polyarchy,0.094
MMR,2004.0,v2x_polyarchy,0.094
MMR,2005.0,v2x_polyarchy,0.094
MMR,2006.0,v2x_polyarchy,0.095
MMR,2007.0,v2x_polyarchy,0.095
MMR,2008.0,v2x_polyarchy,0.095
MMR,2009.0,v2x_polyarchy,0.097
MMR,2010.0,v2x_polyarchy,0.118
MMR,2011.0,v2x_polyarchy,0.22
MMR,2012.0,v2x_polyarchy,0.3
MMR,2013.0,v2x_polyarchy,0.355
MMR,2014.0,v2x_polyarchy,0.352
MMR,2015.0,v2x_polyarchy,0.366
MMR,2016.0,v2x_polyarchy,0.399
MMR,2017.0,v2x_polyarchy,0.4
MMR,2018.0,v2x_polyarchy,0.395
MMR,2019.0,v2x_polyarchy,0.422
MMR,2020.0,v2x_polyarchy,0.427
MMR,2021.0,v2x_polyarchy,0.107
MMR,2022.0,v2x_polyarchy,0.092
MMR,2023.0,v2x_polyarchy,0.08
MMR,2024.0,v2x_polyarchy,0.083
RUS,1995.0,v2x_polyarchy,0.476
RUS,1996.0,v2x_polyarchy,0.463
RUS,1997.0,v2x_polyarchy,0.458
RUS,1998.0,v2x_polyarchy,0.458
RUS,1999.0,v2x_polyarchy,0.462
RUS,2000.0,v2x_polyarchy,0.407
RUS,2001.0,v2x_polyarchy,0.38
RUS,2002.0,v2x_polyarchy,0.351
RUS,2003.0,v2x_polyarchy,0.339
RUS,2004.0,v2x_polyarchy,0.326
RUS,2005.0,v2x_polyarchy,0.325
RUS,2006.0,v2x_polyarchy,0.323
RUS,2007.0,v2x_polyarchy,0.316
RUS,2008.0,v2x_polyarchy,0.305
RUS,2009.0,v2x_polyarchy,0.311
RUS,2010.0,v2x_polyarchy,0.309
RUS,2011.0,v2x_polyarchy,0.297
RUS,2012.0,v2x_polyarchy,0.28
RUS,2013.0,v2x_polyarchy,0.277
RUS,2014.0,v2x_polyarchy,0.269
RUS,2015.0,v2x_polyarchy,0.267
RUS,2016.0,v2x_polyarchy,0.264
RUS,2017.0,v2x_polyarchy,0.263
RUS,2018.0,v2x_polyarchy,0.266
RUS,2019.0,v2x_polyarchy,0.263
RUS,2020.0,v2x_polyarchy,0.256
RUS,2021.0,v2x_polyarchy,0.245
RUS,2022.0,v2x_polyarchy,0.207
RUS,2023.0,v2x_polyarchy,0.19
RUS,2024.0,v2x_polyarchy,0.172
ALB,1995.0,v2x_polyarchy,0.427
ALB,1996.0,v2x_polyarchy,0.386
ALB,1997.0,v2x_polyarchy,0.372
ALB,1998.0,v2x_polyarchy,0.391
ALB,1999.0,v2x_polyarchy,0.396
ALB,2000.0,v2x_polyarchy,0.409
ALB,2001.0,v2x_polyarchy,0.44
ALB,2002.0,v2x_polyarchy,0.482
ALB,2003.0,v2x_polyarchy,0.488
ALB,2004.0,v2x_polyarchy,0.486
ALB,2005.0,v2x_polyarchy,0.518
ALB,2006.0,v2x_polyarchy,0.553
ALB,2007.0,v2x_polyarchy,0.547
ALB,2008.0,v2x_polyarchy,0.552
ALB,2009.0,v2x_polyarchy,0.545
ALB,2010.0,v2x_polyarchy,0.55
ALB,2011.0,v2x_polyarchy,0.55
ALB,2012.0,v2x_polyarchy,0.547
ALB,2013.0,v2x_polyarchy,0.521
ALB,2014.0,v2x_polyarchy,0.527
ALB,2015.0,v2x_polyarchy,0.524
ALB,2016.0,v2x_polyarchy,0.523
ALB,2017.0,v2x_polyarchy,0.537
ALB,2018.0,v2x_polyarchy,0.523
ALB,2019.0,v2x_polyarchy,0.512
ALB,2020.0,v2x_polyarchy,0.526
ALB,2021.0,v2x_polyarchy,0.525
ALB,2022.0,v2x_polyarchy,0.52
ALB,2023.0,v2x_polyarchy,0.507
ALB,2024.0,v2x_polyarchy,0.507
EGY,1995.0,v2x_polyarchy,0.214
EGY,1996.0,v2x_polyarchy,0.215
EGY,1997.0,v2x_polyarchy,0.214
EGY,1998.0,v2x_polyarchy,0.215
EGY,1999.0,v2x_polyarchy,0.215
EGY,2000.0,v2x_polyarchy,0.216
EGY,2001.0,v2x_polyarchy,0.208
EGY,2002.0,v2x_polyarchy,0.208
EGY,2003.0,v2x_polyarchy,0.208
EGY,2004.0,v2x_polyarchy,0.21
EGY,2005.0,v2x_polyarchy,0.21
EGY,2006.0,v2x_polyarchy,0.213
EGY,2007.0,v2x_polyarchy,0.214
EGY,2008.0,v2x_polyarchy,0.214
EGY,2009.0,v2x_polyarchy,0.212
EGY,2010.0,v2x_polyarchy,0.214
EGY,2011.0,v2x_polyarchy,0.206
EGY,2012.0,v2x_polyarchy,0.296
EGY,2013.0,v2x_polyarchy,0.187
EGY,2014.0,v2x_polyarchy,0.135
EGY,2015.0,v2x_polyarchy,0.155
EGY,2016.0,v2x_polyarchy,0.178
EGY,2017.0,v2x_polyarchy,0.177
EGY,2018.0,v2x_polyarchy,0.177
EGY,2019.0,v2x_polyarchy,0.174
EGY,2020.0,v2x_polyarchy,0.175
EGY,2021.0,v2x_polyarchy,0.181
EGY,2022.0,v2x_polyarchy,0.184
EGY,2023.0,v2x_polyarchy,0.188
EGY,2024.0,v2x_polyarchy,0.186
YEM,1995.0,v2x_polyarchy,0.298
YEM,1996.0,v2x_polyarchy,0.298
YEM,1997.0,v2x_polyarchy,0.279
YEM,1998.0,v2x_polyarchy,0.266
YEM,1999.0,v2x_polyarchy,0.263
YEM,2000.0,v2x_polyarchy,0.264
YEM,2001.0,v2x_polyarchy,0.264
YEM,2002.0,v2x_polyarchy,0.264
YEM,2003.0,v2x_polyarchy,0.277
YEM,2004.0,v2x_polyarchy,0.281
YEM,2005.0,v2x_polyarchy,0.282
YEM,2006.0,v2x_polyarchy,0.285
YEM,2007.0,v2x_polyarchy,0.285
YEM,2008.0,v2x_polyarchy,0.286
YEM,2009.0,v2x_polyarchy,0.286
YEM,2010.0,v2x_polyarchy,0.288
YEM,2011.0,v2x_polyarchy,0.309
YEM,2012.0,v2x_polyarchy,0.359
YEM,2013.0,v2x_polyarchy,0.331
YEM,2014.0,v2x_polyarchy,0.301
YEM,2015.0,v2x_polyarchy,0.184
YEM,2016.0,v2x_polyarchy,0.113
YEM,2017.0,v2x_polyarchy,0.111
YEM,2018.0,v2x_polyarchy,0.113
YEM,2019.0,v2x_polyarchy,0.118
YEM,2020.0,v2x_polyarchy,0.114
YEM,2021.0,v2x_polyarchy,0.115
YEM,2022.0,v2x_polyarchy,0.124
YEM,2023.0,v2x_polyarchy,0.128
YEM,2024.0,v2x_polyarchy,0.127
COL,1995.0,v2x_polyarchy,0.563
COL,1996.0,v2x_polyarchy,0.554
COL,1997.0,v2x_polyarchy,0.554
COL,1998.0,v2x_polyarchy,0.544
COL,1999.0,v2x_polyarchy,0.539
COL,2000.0,v2x_polyarchy,0.548
COL,2001.0,v2x_polyarchy,0.549
COL,2002.0,v2x_polyarchy,0.538
COL,2003.0,v2x_polyarchy,0.545
COL,2004.0,v2x_polyarchy,0.546
COL,2005.0,v2x_polyarchy,0.551
COL,2006.0,v2x_polyarchy,0.573
COL,2007.0,v2x_polyarchy,0.589
COL,2008.0,v2x_polyarchy,0.588
COL,2009.0,v2x_polyarchy,0.592
COL,2010.0,v2x_polyarchy,0.626
COL,2011.0,v2x_polyarchy,0.661
COL,2012.0,v2x_polyarchy,0.664
COL,2013.0,v2x_polyarchy,0.669
COL,2014.0,v2x_polyarchy,0.682
COL,2015.0,v2x_polyarchy,0.687
COL,2016.0,v2x_polyarchy,0.688
COL,2017.0,v2x_polyarchy,0.685
COL,2018.0,v2x_polyarchy,0.67
COL,2019.0,v2x_polyarchy,0.659
COL,2020.0,v2x_polyarchy,0.645
COL,2021.0,v2x_polyarchy,0.658
COL,2022.0,v2x_polyarchy,0.696
COL,2023.0,v2x_polyarchy,0.709
COL,2024.0,v2x_polyarchy,0.701
POL,1995.0,v2x_polyarchy,0.888
POL,1996.0,v2x_polyarchy,0.881
POL,1997.0,v2x_polyarchy,0.869
POL,1998.0,v2x_polyarchy,0.878
POL,1999.0,v2x_polyarchy,0.878
POL,2000.0,v2x_polyarchy,0.878
POL,2001.0,v2x_polyarchy,0.878
POL,2002.0,v2x_polyarchy,0.879
POL,2003.0,v2x_polyarchy,0.879
POL,2004.0,v2x_polyarchy,0.879
POL,2005.0,v2x_polyarchy,0.881
POL,2006.0,v2x_polyarchy,0.875
POL,2007.0,v2x_polyarchy,0.873
POL,2008.0,v2x_polyarchy,0.895
POL,2009.0,v2x_polyarchy,0.895
POL,2010.0,v2x_polyarchy,0.894
POL,2011.0,v2x_polyarchy,0.894
POL,2012.0,v2x_polyarchy,0.894
POL,2013.0,v2x_polyarchy,0.891
POL,2014.0,v2x_polyarchy,0.884
POL,2015.0,v2x_polyarchy,0.875
POL,2016.0,v2x_polyarchy,0.727
POL,2017.0,v2x_polyarchy,0.697
POL,2018.0,v2x_polyarchy,0.697
POL,2019.0,v2x_polyarchy,0.681
POL,2020.0,v2x_polyarchy,0.614
POL,2021.0,v2x_polyarchy,0.584
POL,2022.0,v2x_polyarchy,0.576
POL,2023.0,v2x_polyarchy,0.59
POL,2024.0,v2x_polyarchy,0.729
BRA,1995.0,v2x_polyarchy,0.848
BRA,1996.0,v2x_polyarchy,0.85
BRA,1997.0,v2x_polyarchy,0.85
BRA,1998.0,v2x_polyarchy,0.851
BRA,1999.0,v2x_polyarchy,0.854
BRA,2000.0,v2x_polyarchy,0.857
BRA,2001.0,v2x_polyarchy,0.857
BRA,2002.0,v2x_polyarchy,0.858
BRA,2003.0,v2x_polyarchy,0.856
BRA,2004.0,v2x_polyarchy,0.856
BRA,2005.0,v2x_polyarchy,0.873
BRA,2006.0,v2x_polyarchy,0.874
BRA,2007.0,v2x_polyarchy,0.869
BRA,2008.0,v2x_polyarchy,0.869
BRA,2009.0,v2x_polyarchy,0.869
BRA,2010.0,v2x_polyarchy,0.872
BRA,2011.0,v2x_polyarchy,0.876
BRA,2012.0,v2x_polyarchy,0.872
BRA,2013.0,v2x_polyarchy,0.876
BRA,2014.0,v2x_polyarchy,0.877
BRA,2015.0,v2x_polyarchy,0.863
BRA,2016.0,v2x_polyarchy,0.782
BRA,2017.0,v2x_polyarchy,0.778
BRA,2018.0,v2x_polyarchy,0.753
BRA,2019.0,v2x_polyarchy,0.698
BRA,2020.0,v2x_polyarchy,0.699
BRA,2021.0,v2x_polyarchy,0.688
BRA,2022.0,v2x_polyarchy,0.699
BRA,2023.0,v2x_polyarchy,0.789
BRA,2024.0,v2x_polyarchy,0.801
USA,1995.0,v2x_polyarchy,0.868
USA,1996.0,v2x_polyarchy,0.867
USA,1997.0,v2x_polyarchy,0.866
USA,1998.0,v2x_polyarchy,0.867
USA,1999.0,v2x_polyarchy,0.87
USA,2000.0,v2x_polyarchy,0.868
USA,2001.0,v2x_polyarchy,0.821
USA,2002.0,v2x_polyarchy,0.826
USA,2003.0,v2x_polyarchy,0.859
USA,2004.0,v2x_polyarchy,0.862
USA,2005.0,v2x_polyarchy,0.861
USA,2006.0,v2x_polyarchy,0.867
USA,2007.0,v2x_polyarchy,0.897
USA,2008.0,v2x_polyarchy,0.898
USA,2009.0,v2x_polyarchy,0.902
USA,2010.0,v2x_polyarchy,0.902
USA,2011.0,v2x_polyarchy,0.9
USA,2012.0,v2x_polyarchy,0.899
USA,2013.0,v2x_polyarchy,0.902
USA,2014.0,v2x_polyarchy,0.9
USA,2015.0,v2x_polyarchy,0.9
USA,2016.0,v2x_polyarchy,0.887
USA,2017.0,v2x_polyarchy,0.827
USA,2018.0,v2x_polyarchy,0.823
USA,2019.0,v2x_polyarchy,0.812
USA,2020.0,v2x_polyarchy,0.807
USA,2021.0,v2x_polyarchy,0.821
USA,2022.0,v2x_polyarchy,0.829
USA,2023.0,v2x_polyarchy,0.843
USA,2024.0,v2x_polyarchy,0.84
PRT,1995.0,v2x_polyarchy,0.865
PRT,1996.0,v2x_polyarchy,0.871
PRT,1997.0,v2x_polyarchy,0.871
PRT,1998.0,v2x_polyarchy,0.871
PRT,1999.0,v2x_polyarchy,0.87
PRT,2000.0,v2x_polyarchy,0.869
PRT,2001.0,v2x_polyarchy,0.877
PRT,2002.0,v2x_polyarchy,0.878
PRT,2003.0,v2x_polyarchy,0.877
PRT,2004.0,v2x_polyarchy,0.877
PRT,2005.0,v2x_polyarchy,0.89
PRT,2006.0,v2x_polyarchy,0.893
PRT,2007.0,v2x_polyarchy,0.893
PRT,2008.0,v2x_polyarchy,0.894
PRT,2009.0,v2x_polyarchy,0.895
PRT,2010.0,v2x_polyarchy,0.898
PRT,2011.0,v2x_polyarchy,0.888
PRT,2012.0,v2x_polyarchy,0.887
PRT,2013.0,v2x_polyarchy,0.887
PRT,2014.0,v2x_polyarchy,0.887
PRT,2015.0,v2x_polyarchy,0.887
PRT,2016.0,v2x_polyarchy,0.887
PRT,2017.0,v2x_polyarchy,0.899
PRT,2018.0,v2x_polyarchy,0.899
PRT,2019.0,v2x_polyarchy,0.885
PRT,2020.0,v2x_polyarchy,0.884
PRT,2021.0,v2x_polyarchy,0.887
PRT,2022.0,v2x_polyarchy,0.844
PRT,2023.0,v2x_polyarchy,0.851
PRT,2024.0,v2x_polyarchy,0.831
SLV,1995.0,v2x_polyarchy,0.48
SLV,1996.0,v2x_polyarchy,0.482
SLV,1997.0,v2x_polyarchy,0.489
SLV,1998.0,v2x_polyarchy,0.488
SLV,1999.0,v2x_polyarchy,0.508
SLV,2000.0,v2x_polyarchy,0.531
SLV,2001.0,v2x_polyarchy,0.54
SLV,2002.0,v2x_polyarchy,0.547
SLV,2003.0,v2x_polyarchy,0.544
SLV,2004.0,v2x_polyarchy,0.543
SLV,2005.0,v2x_polyarchy,0.541
SLV,2006.0,v2x_polyarchy,0.561
SLV,2007.0,v2x_polyarchy,0.566
SLV,2008.0,v2x_polyarchy,0.566
SLV,2009.0,v2x_polyarchy,0.597
SLV,2010.0,v2x_polyarchy,0.619
SLV,2011.0,v2x_polyarchy,0.619
SLV,2012.0,v2x_polyarchy,0.624
SLV,2013.0,v2x_polyarchy,0.622
SLV,2014.0,v2x_polyarchy,0.666
SLV,2015.0,v2x_polyarchy,0.661
SLV,2016.0,v2x_polyarchy,0.666
SLV,2017.0,v2x_polyarchy,0.671
SLV,2018.0,v2x_polyarchy,0.635
SLV,2019.0,v2x_polyarchy,0.594
SLV,2020.0,v2x_polyarchy,0.522
SLV,2021.0,v2x_polyarchy,0.409
SLV,2022.0,v2x_polyarchy,0.381
SLV,2023.0,v2x_polyarchy,0.38
SLV,2024.0,v2x_polyarchy,0.339
BGD,1995.0,v2x_polyarchy,0.511
BGD,1996.0,v2x_polyarchy,0.5
BGD,1997.0,v2x_polyarchy,0.511
BGD,1998.0,v2x_polyarchy,0.511
BGD,1999.0,v2x_polyarchy,0.511
BGD,2000.0,v2x_polyarchy,0.511
BGD,2001.0,v2x_polyarchy,0.504
BGD,2002.0,v2x_polyarchy,0.463
BGD,2003.0,v2x_polyarchy,0.474
BGD,2004.0,v2x_polyarchy,0.474
BGD,2005.0,v2x_polyarchy,0.474
BGD,2006.0,v2x_polyarchy,0.424
BGD,2007.0,v2x_polyarchy,0.205
BGD,2008.0,v2x_polyarchy,0.209
BGD,2009.0,v2x_polyarchy,0.418
BGD,2010.0,v2x_polyarchy,0.427
BGD,2011.0,v2x_polyarchy,0.416
BGD,2012.0,v2x_polyarchy,0.411
BGD,2013.0,v2x_polyarchy,0.377
BGD,2014.0,v2x_polyarchy,0.281
BGD,2015.0,v2x_polyarchy,0.271
BGD,2016.0,v2x_polyarchy,0.269
BGD,2017.0,v2x_polyarchy,0.264
BGD,2018.0,v2x_polyarchy,0.254
BGD,2019.0,v2x_polyarchy,0.251
BGD,2020.0,v2x_polyarchy,0.258
BGD,2021.0,v2x_polyarchy,0.254
BGD,2022.0,v2x_polyarchy,0.263
BGD,2023.0,v2x_polyarchy,0.253
BGD,2024.0,v2x_polyarchy,0.201
BOL,1995.0,v2x_polyarchy,0.737
BOL,1996.0,v2x_polyarchy,0.737
BOL,1997.0,v2x_polyarchy,0.739
BOL,1998.0,v2x_polyarchy,0.738
BOL,1999.0,v2x_polyarchy,0.744
BOL,2000.0,v2x_polyarchy,0.744
BOL,2001.0,v2x_polyarchy,0.744
BOL,2002.0,v2x_polyarchy,0.727
BOL,2003.0,v2x_polyarchy,0.722
BOL,2004.0,v2x_polyarchy,0.753
BOL,2005.0,v2x_polyarchy,0.748
BOL,2006.0,v2x_polyarchy,0.721
BOL,2007.0,v2x_polyarchy,0.719
BOL,2008.0,v2x_polyarchy,0.716
BOL,2009.0,v2x_polyarchy,0.712
BOL,2010.0,v2x_polyarchy,0.685
BOL,2011.0,v2x_polyarchy,0.681
BOL,2012.0,v2x_polyarchy,0.674
BOL,2013.0,v2x_polyarchy,0.661
BOL,2014.0,v2x_polyarchy,0.646
BOL,2015.0,v2x_polyarchy,0.617
BOL,2016.0,v2x_polyarchy,0.619
BOL,2017.0,v2x_polyarchy,0.615
BOL,2018.0,v2x_polyarchy,0.598
BOL,2019.0,v2x_polyarchy,0.481
BOL,2020.0,v2x_polyarchy,0.331
BOL,2021.0,v2x_polyarchy,0.614
BOL,2022.0,v2x_polyarchy,0.589
BOL,2023.0,v2x_polyarchy,0.584
BOL,2024.0,v2x_polyarchy,0.576
HTI,1995.0,v2x_polyarchy,0.346
HTI,1996.0,v2x_polyarchy,0.42
HTI,1997.0,v2x_polyarchy,0.437
HTI,1998.0,v2x_polyarchy,0.439
HTI,1999.0,v2x_polyarchy,0.439
HTI,2000.0,v2x_polyarchy,0.432
HTI,2001.0,v2x_polyarchy,0.411
HTI,2002.0,v2x_polyarchy,0.409
HTI,2003.0,v2x_polyarchy,0.406
HTI,2004.0,v2x_polyarchy,0.243
