,Country,Year,Value,Resource,Metric,Price
52,Total Africa,1965,2232.302521,Oil,Production,
53,Australia,1965,7,Oil,Production,
54,Brunei,1965,80,Oil,Production,
55,China,1965,227.129589,Oil,Production,
56,India,1965,62.34427397,Oil,Production,
57,Indonesia,1965,486,Oil,Production,
58,Malaysia,1965,1,Oil,Production,
59,Thailand,1965,0,Oil,Production,
60,Vietnam,1965,0,Oil,Production,
61,Other Asia Pacific,1965,35.1139726,Oil,Production,
62,Total Asia Pacific,1965,898.5878356,Oil,Production,
63,Total World,1965,31791.90699,Oil,Production,
64,of which: OECD,1965,11018.18208,Oil,Production,
65,                 Non-OECD,1965,20773.7249,Oil,Production,
66,                 OPEC,1965,13687.3557,Oil,Production,
67,                 Non-OPEC ,1965,18104.55129,Oil,Production,
68,                 European Union #,1965,697.0976438,Oil,Production,
69,Canada,1966,1012,Oil,Production,
70,Mexico,1966,370,Oil,Production,
71,US,1966,9579.241,Oil,Production,
72,Total North America,1966,10961.241,Oil,Production,
73,Argentina,1966,292.8641096,Oil,Production,
74,Brazil,1966,117.05,Oil,Production,
75,Colombia,1966,199,Oil,Production,
76,Ecuador,1966,7,Oil,Production,
77,Guyana,1966,0,Oil,Production,
78,Peru,1966,66,Oil,Production,
79,Trinidad & Tobago,1966,153,Oil,Production,
80,Venezuela,1966,3402,Oil,Production,
81,Other S. & Cent. America,1966,54.41109589,Oil,Production,
82,Total S. & Cent. America,1966,4291.325205,Oil,Production,
83,Denmark,1966,0,Oil,Production,
84,Italy,1966,39.07699178,Oil,Production,
85,Norway,1966,0,Oil,Production,
86,Romania,1966,271.0020548,Oil,Production,
87,United Kingdom,1966,1.615561644,Oil,Production,
88,Other Europe,1966,486.6779726,Oil,Production,
89,Total Europe,1966,798.3725808,Oil,Production,
90,Azerbaijan,1966,0,Oil,Production,
91,Kazakhstan,1966,0,Oil,Production,
92,Russian Federation,1966,0,Oil,Production,
93,Turkmenistan,1966,0,Oil,Production,
94,Uzbekistan,1966,0,Oil,Production,
95,Other CIS,1966,0,Oil,Production,
96,Total CIS,1966,5302,Oil,Production,
97,Iran,1966,2132,Oil,Production,
98,Iraq,1966,1392,Oil,Production,
99,Kuwait,1966,2505,Oil,Production,
100,Oman,1966,0,Oil,Production,
101,Qatar,1966,291,Oil,Production,
102,Saudi Arabia,1966,2617.8,Oil,Production,
103,Syria,1966,0,Oil,Production,
104,United Arab Emirates,1966,360,Oil,Production,
105,Yemen,1966,0,Oil,Production,
106,Other Middle East,1966,65.76109589,Oil,Production,
107,Total Middle East,1966,9363.561096,Oil,Production,
108,Algeria,1966,733.5931507,Oil,Production,
109,Angola,1966,12.81016438,Oil,Production,
110,Chad,1966,0,Oil,Production,
111,Republic of Congo ,1966,1.202630137,Oil,Production,
112,Egypt,1966,121.7115068,Oil,Production,
113,Equatorial Guinea,1966,0,Oil,Production,
114,Gabon,1966,28.97964384,Oil,Production,
115,Libya,1966,1508,Oil,Production,
116,Nigeria,1966,417.6,Oil,Production,
117,South Sudan,1966,0,Oil,Production,
118,Sudan,1966,0,Oil,Production,
119,Tunisia,1966,16.24380822,Oil,Production,
120,Other Africa,1966,2.139013699,Oil,Production,
121,Total Africa,1966,2842.279918,Oil,Production,
122,Australia,1966,9,Oil,Production,
123,Brunei,1966,96,Oil,Production,
124,China,1966,292.1958904,Oil,Production,
125,India,1966,95.86824658,Oil,Production,
126,Indonesia,1966,474,Oil,Production,
127,Malaysia,1966,1,Oil,Production,
128,Thailand,1966,0,Oil,Production,
129,Vietnam,1966,0,Oil,Production,
130,Other Asia Pacific,1966,34.08547945,Oil,Production,
131,Total Asia Pacific,1966,1002.149616,Oil,Production,
132,Total World,1966,34560.92942,Oil,Production,
133,of which: OECD,1966,11677.42566,Oil,Production,
134,                 Non-OECD,1966,22883.50375,Oil,Production,
135,                 OPEC,1966,15098.17542,Oil,Production,
136,                 Non-OPEC ,1966,19462.75399,Oil,Production,
137,                 European Union #,1966,695.6394027,Oil,Production,
138,Canada,1967,1106,Oil,Production,
139,Mexico,1967,411,Oil,Production,
140,US,1967,10219.252,Oil,Production,
141,Total North America,1967,11736.252,Oil,Production,
142,Argentina,1967,318.6312329,Oil,Production,
143,Brazil,1967,147.05,Oil,Production,
144,Colombia,1967,192,Oil,Production,
145,Ecuador,1967,6,Oil,Production,
146,Guyana,1967,0,Oil,Production,
147,Peru,1967,74,Oil,Production,
148,Trinidad & Tobago,1967,179,Oil,Production,
149,Venezuela,1967,3576,Oil,Production,
150,Other S. & Cent. America,1967,78.21424658,Oil,Production,
151,Total S. & Cent. America,1967,4570.895479,Oil,Production,
152,Denmark,1967,0,Oil,Production,
153,Italy,1967,36.55973699,Oil,Production,
154,Norway,1967,0,Oil,Production,
155,Romania,1967,278.8412603,Oil,Production,
156,United Kingdom,1967,1.84339726,Oil,Production,
157,Other Europe,1967,506.9918356,Oil,Production,
158,Total Europe,1967,824.2362301,Oil,Production,
159,Azerbaijan,1967,0,Oil,Production,
160,Kazakhstan,1967,0,Oil,Production,
161,Russian Federation,1967,0,Oil,Production,
162,Turkmenistan,1967,0,Oil,Production,
163,Uzbekistan,1967,0,Oil,Production,
164,Other CIS,1967,0,Oil,Production,
165,Total CIS,1967,5762,Oil,Production,
166,Iran,1967,2603,Oil,Production,
167,Iraq,1967,1228,Oil,Production,
168,Kuwait,1967,2522,Oil,Production,
169,Oman,1967,57,Oil,Production,
170,Qatar,1967,324,Oil,Production,
171,Saudi Arabia,1967,2825,Oil,Production,
172,Syria,1967,0,Oil,Production,
173,United Arab Emirates,1967,382.1,Oil,Production,
174,Yemen,1967,0,Oil,Production,
175,Other Middle East,1967,72.97753425,Oil,Production,
176,Total Middle East,1967,10014.07753,Oil,Production,
177,Algeria,1967,842.6643836,Oil,Production,
178,Angola,1967,10.90183562,Oil,Production,
179,Chad,1967,0,Oil,Production,
180,Republic of Congo ,1967,0.969863014,Oil,Production,
181,Egypt,1967,108.5619178,Oil,Production,
182,Equatorial Guinea,1967,0,Oil,Production,
183,Gabon,1967,68.99438356,Oil,Production,
184,Libya,1967,1733,Oil,Production,
185,Nigeria,1967,319.1,Oil,Production,
186,South Sudan,1967,0,Oil,Production,
187,Sudan,1967,0,Oil,Production,
188,Tunisia,1967,47.21449315,Oil,Production,
189,Other Africa,1967,2.055945205,Oil,Production,
190,Total Africa,1967,3133.462822,Oil,Production,
191,Australia,1967,21,Oil,Production,
192,Brunei,1967,104,Oil,Production,
193,China,1967,278.7408219,Oil,Production,
194,India,1967,116.9109863,Oil,Production,
195,Indonesia,1967,510,Oil,Production,
196,Malaysia,1967,1,Oil,Production,
197,Thailand,1967,0,Oil,Production,
198,Vietnam,1967,0,Oil,Production,
199,Other Asia Pacific,1967,31.08547945,Oil,Production,
200,Total Asia Pacific,1967,1062.737288,Oil,Production,
201,Total World,1967,37103.66135,Oil,Production,
202,of which: OECD,1967,12464.86256,Oil,Production,
203,                 Non-OECD,1967,24638.79879,Oil,Production,
204,                 OPEC,1967,16100.82863,Oil,Production,
205,                 Non-OPEC ,1967,21002.83272,Oil,Production,
206,                 European Union #,1967,702.7129425,Oil,Production,
207,Canada,1968,1194,Oil,Production,
208,Mexico,1968,439,Oil,Production,
209,US,1968,10599.743,Oil,Production,
210,Total North America,1968,12232.743,Oil,Production,
211,Argentina,1968,348.1584699,Oil,Production,
212,Brazil,1968,161.05,Oil,Production,
213,Colombia,1968,176,Oil,Production,
214,Ecuador,1968,5,Oil,Production,
215,Guyana,1968,0,Oil,Production,
216,Peru,1968,77,Oil,Production,
217,Trinidad & Tobago,1968,191,Oil,Production,
218,Venezuela,1968,3639,Oil,Production,
219,Other S. & Cent. America,1968,84.57131148,Oil,Production,
220,Total S. & Cent. America,1968,4681.779781,Oil,Production,
221,Denmark,1968,0,Oil,Production,
222,Italy,1968,34.58282514,Oil,Production,
223,Norway,1968,0,Oil,Production,
224,Romania,1968,279.7004098,Oil,Production,
225,United Kingdom,1968,1.735081967,Oil,Production,
226,Other Europe,1968,517.6376776,Oil,Production,
227,Total Europe,1968,833.6559945,Oil,Production,
228,Azerbaijan,1968,0,Oil,Production,
229,Kazakhstan,1968,0,Oil,Production,
230,Russian Federation,1968,0,Oil,Production,
231,Turkmenistan,1968,0,Oil,Production,
232,Uzbekistan,1968,0,Oil,Production,
233,Other CIS,1968,0,Oil,Production,
234,Total CIS,1968,6167.103825,Oil,Production,
235,Iran,1968,2840,Oil,Production,
236,Iraq,1968,1503,Oil,Production,
237,Kuwait,1968,2656,Oil,Production,
238,Oman,1968,241,Oil,Production,
239,Qatar,1968,340,Oil,Production,
240,Saudi Arabia,1968,3080.9,Oil,Production,
241,Syria,1968,21,Oil,Production,
242,United Arab Emirates,1968,496.6,Oil,Production,
243,Yemen,1968,0,Oil,Production,
244,Other Middle East,1968,77.96939891,Oil,Production,
245,Total Middle East,1968,11256.4694,Oil,Production,
246,Algeria,1968,922.495082,Oil,Production,
247,Angola,1968,15.18442623,Oil,Production,
248,Chad,1968,0,Oil,Production,
249,Republic of Congo ,1968,0.831803279,Oil,Production,
250,Egypt,1968,166.3844262,Oil,Production,
251,Equatorial Guinea,1968,0,Oil,Production,
252,Gabon,1968,92.69319672,Oil,Production,
253,Libya,1968,2599,Oil,Production,
254,Nigeria,1968,141.3,Oil,Production,
255,South Sudan,1968,0,Oil,Production,
256,Sudan,1968,0,Oil,Production,
257,Tunisia,1968,67.04587432,Oil,Production,
258,Other Africa,1968,1.843224044,Oil,Production,
259,Total Africa,1968,4006.778033,Oil,Production,
260,Australia,1968,39,Oil,Production,
261,Brunei,1968,122,Oil,Production,
262,China,1968,320.2368852,Oil,Production,
263,India,1968,120.4182787,Oil,Production,
264,Indonesia,1968,599,Oil,Production,
265,Malaysia,1968,4,Oil,Production,
266,Thailand,1968,0,Oil,Production,
267,Vietnam,1968,0,Oil,Production,
268,Other Asia Pacific,1968,35.1136612,Oil,Production,
269,Total Asia Pacific,1968,1239.768825,Oil,Production,
270,Total World,1968,40418.29886,Oil,Production,
271,of which: OECD,1968,12971.33195,Oil,Production,
272,                 Non-OECD,1968,27446.96691,Oil,Production,
273,                 OPEC,1968,17971.82008,Oil,Production,
274,                 Non-OPEC ,1968,22446.47878,Oil,Production,
275,                 European Union #,1968,700.5332623,Oil,Production,
276,Canada,1969,1306,Oil,Production,
277,Mexico,1969,461,Oil,Production,
278,US,1969,10827.674,Oil,Production,
279,Total North America,1969,12594.674,Oil,Production,
280,Argentina,1969,361.5320548,Oil,Production,
281,Brazil,1969,176.05,Oil,Production,
282,Colombia,1969,214,Oil,Production,
283,Ecuador,1969,4,Oil,Production,
284,Guyana,1969,0,Oil,Production,
285,Peru,1969,75,Oil,Production,
286,Trinidad & Tobago,1969,157,Oil,Production,
287,Venezuela,1969,3631,Oil,Production,
288,Other S. & Cent. America,1969,83.80465753,Oil,Production,
289,Total S. & Cent. America,1969,4702.386712,Oil,Production,
290,Denmark,1969,0,Oil,Production,
291,Italy,1969,33.86123562,Oil,Production,
292,Norway,1969,0,Oil,Production,
293,Romania,1969,281.0889315,Oil,Production,
294,United Kingdom,1969,1.792109589,Oil,Production,
295,Other Europe,1969,530.0449589,Oil,Production,
296,Total Europe,1969,846.7872356,Oil,Production,
297,Azerbaijan,1969,0,Oil,Production,
298,Kazakhstan,1969,0,Oil,Production,
299,Russian Federation,1969,0,Oil,Production,
300,Turkmenistan,1969,0,Oil,Production,
301,Uzbekistan,1969,0,Oil,Production,
302,Other CIS,1969,0,Oil,Production,
303,Total CIS,1969,6566,Oil,Production,
304,Iran,1969,3376,Oil,Production,
305,Iraq,1969,1521,Oil,Production,
306,Kuwait,1969,2819,Oil,Production,
307,Oman,1969,327,Oil,Production,
308,Qatar,1969,356,Oil,Production,
309,Saudi Arabia,1969,3262.2,Oil,Production,
310,Syria,1969,53,Oil,Production,
311,United Arab Emirates,1969,627.8,Oil,Production,
312,Yemen,1969,0,Oil,Production,
313,Other Middle East,1969,77.95890411,Oil,Production,
314,Total Middle East,1969,12419.9589,Oil,Production,
315,Algeria,1969,969.3315068,Oil,Production,
316,Angola,1969,49.90076712,Oil,Production,
317,Chad,1969,0,Oil,Production,
318,Republic of Congo ,1969,0.465534247,Oil,Production,
319,Egypt,1969,239.1630137,Oil,Production,
320,Equatorial Guinea,1969,0,Oil,Production,
321,Gabon,1969,100.677726,Oil,Production,
322,Libya,1969,3108,Oil,Production,
323,Nigeria,1969,540.3,Oil,Production,
324,South Sudan,1969,0,Oil,Production,
325,Sudan,1969,0,Oil,Production,
326,Tunisia,1969,78.10090411,Oil,Production,
327,Other Africa,1969,1.204493151,Oil,Production,
328,Total Africa,1969,5087.143945,Oil,Production,
329,Australia,1969,45,Oil,Production,
330,Brunei,1969,124,Oil,Production,
331,China,1969,436.5868493,Oil,Production,
332,India,1969,138.696411,Oil,Production,
333,Indonesia,1969,642,Oil,Production,
334,Malaysia,1969,9,Oil,Production,
335,Thailand,1969,0,Oil,Production,
336,Vietnam,1969,0,Oil,Production,
337,Other Asia Pacific,1969,36.42739726,Oil,Production,
338,Total Asia Pacific,1969,1431.710658,Oil,Production,
339,Total World,1969,43648.66145,Oil,Production,
340,of which: OECD,1969,13383.78,Oil,Production,
341,                 Non-OECD,1969,30264.88145,Oil,Production,
342,                 OPEC,1969,19955.77477,Oil,Production,
343,                 Non-OPEC ,1969,23692.88669,Oil,Production,
344,                 European Union #,1969,696.4227151,Oil,Production,
345,Canada,1970,1473,Oil,Production,
346,Mexico,1970,487,Oil,Production,
347,US,1970,11296.849,Oil,Production,
348,Total North America,1970,13256.849,Oil,Production,
349,Argentina,1970,399.4646575,Oil,Production,
350,Brazil,1970,166.6810307,Oil,Production,
351,Colombia,1970,226,Oil,Production,
352,Ecuador,1970,4,Oil,Production,
353,Guyana,1970,0,Oil,Production,
354,Peru,1970,74.97260274,Oil,Production,
355,Trinidad & Tobago,1970,140,Oil,Production,
356,Venezuela,1970,3754,Oil,Production,
357,Other S. & Cent. America,1970,63.94671233,Oil,Production,
358,Total S. & Cent. America,1970,4829.065003,Oil,Production,
359,Denmark,1970,0,Oil,Production,
360,Italy,1970,31.89930137,Oil,Production,
361,Norway,1970,0,Oil,Production,
362,Romania,1970,283.7843014,Oil,Production,
363,United Kingdom,1970,3.519123288,Oil,Production,
364,Other Europe,1970,528.2369589,Oil,Production,
365,Total Europe,1970,847.4396849,Oil,Production,
366,Azerbaijan,1970,0,Oil,Production,
367,Kazakhstan,1970,0,Oil,Production,
368,Russian Federation,1970,0,Oil,Production,
369,Turkmenistan,1970,0,Oil,Production,
370,Uzbekistan,1970,0,Oil,Production,
371,Other CIS,1970,0,Oil,Production,
372,Total CIS,1970,7126.746301,Oil,Production,
373,Iran,1970,3847.659726,Oil,Production,
374,Iraq,1970,1549,Oil,Production,
375,Kuwait,1970,3036,Oil,Production,
376,Oman,1970,332,Oil,Production,
377,Qatar,1970,363,Oil,Production,
378,Saudi Arabia,1970,3851.1,Oil,Production,
379,Syria,1970,85,Oil,Production,
380,United Arab Emirates,1970,779.6,Oil,Production,
381,Yemen,1970,0,Oil,Production,
382,Other Middle East,1970,78.53773973,Oil,Production,
383,Total Middle East,1970,13921.89747,Oil,Production,
384,Algeria,1970,1053.926849,Oil,Production,
385,Angola,1970,102.8264384,Oil,Production,
386,Chad,1970,0,Oil,Production,
387,Republic of Congo ,1970,0.368547945,Oil,Production,
388,Egypt,1970,319.0915068,Oil,Production,
389,Equatorial Guinea,1970,0,Oil,Production,
390,Gabon,1970,108.6085753,Oil,Production,
391,Libya,1970,3357,Oil,Production,
392,Nigeria,1970,1083.1,Oil,Production,
393,South Sudan,1970,0,Oil,Production,
394,Sudan,1970,0,Oil,Production,
395,Tunisia,1970,87.45531507,Oil,Production,
396,Other Africa,1970,0.913753425,Oil,Production,
397,Total Africa,1970,6113.290986,Oil,Production,
398,Australia,1970,176,Oil,Production,
399,Brunei,1970,136,Oil,Production,
400,China,1970,615.5191781,Oil,Production,
401,India,1970,140.4706027,Oil,Production,
402,Indonesia,1970,854,Oil,Production,
403,Malaysia,1970,18,Oil,Production,
404,Thailand,1970,0,Oil,Production,
405,Vietnam,1970,0,Oil,Production,
406,Other Asia Pacific,1970,39.50531507,Oil,Production,
407,Total Asia Pacific,1970,1979.495096,Oil,Production,
408,Total World,1970,48074.78354,Oil,Production,
409,of which: OECD,1970,14177.93686,Oil,Production,
410,                 Non-OECD,1970,33896.84667,Oil,Production,
411,                 OPEC,1970,22420.3637,Oil,Production,
412,                 Non-OPEC ,1970,25654.41984,Oil,Production,
413,                 European Union #,1970,689.9916301,Oil,Production,
414,Canada,1971,1582,Oil,Production,
415,Mexico,1971,486,Oil,Production,
416,US,1971,11155.778,Oil,Production,
417,Total North America,1971,13223.778,Oil,Production,
418,Argentina,1971,431.5380822,Oil,Production,
419,Brazil,1971,174.8450014,Oil,Production,
420,Colombia,1971,224,Oil,Production,
421,Ecuador,1971,4,Oil,Production,
422,Guyana,1971,0,Oil,Production,
423,Peru,1971,63.88219178,Oil,Production,
424,Trinidad & Tobago,1971,129,Oil,Production,
425,Venezuela,1971,3615,Oil,Production,
426,Other S. & Cent. America,1971,80.38465753,Oil,Production,
427,Total S. & Cent. America,1971,4722.649933,Oil,Production,
428,Denmark,1971,0,Oil,Production,
429,Italy,1971,28.53802466,Oil,Production,
430,Norway,1971,6,Oil,Production,
431,Romania,1971,292.3436438,Oil,Production,
432,United Kingdom,1971,4.899945205,Oil,Production,
433,Other Europe,1971,509.311726,Oil,Production,
434,Total Europe,1971,841.0933397,Oil,Production,
435,Azerbaijan,1971,0,Oil,Production,
436,Kazakhstan,1971,0,Oil,Production,
437,Russian Federation,1971,0,Oil,Production,
438,Turkmenistan,1971,0,Oil,Production,
439,Uzbekistan,1971,0,Oil,Production,
440,Other CIS,1971,0,Oil,Production,
441,Total CIS,1971,7610.459178,Oil,Production,
442,Iran,1971,4572.421918,Oil,Production,
443,Iraq,1971,1694,Oil,Production,
444,Kuwait,1971,3253,Oil,Production,
445,Oman,1971,294,Oil,Production,
446,Qatar,1971,430,Oil,Production,
447,Saudi Arabia,1971,4820.9,Oil,Production,
448,Syria,1971,106,Oil,Production,
449,United Arab Emirates,1971,1059.5,Oil,Production,
450,Yemen,1971,0,Oil,Production,
451,Other Middle East,1971,76.20080822,Oil,Production,
452,Total Middle East,1971,16306.02273,Oil,Production,
453,Algeria,1971,802.5873973,Oil,Production,
454,Angola,1971,116.144137,Oil,Production,
455,Chad,1971,0,Oil,Production,
456,Republic of Congo ,1971,0.271561644,Oil,Production,
457,Egypt,1971,290.8471233,Oil,Production,
458,Equatorial Guinea,1971,0,Oil,Production,
459,Gabon,1971,116.0587671,Oil,Production,
460,Libya,1971,2750,Oil,Production,
461,Nigeria,1971,1531.2,Oil,Production,
462,South Sudan,1971,0,Oil,Production,
463,Sudan,1971,0,Oil,Production,
464,Tunisia,1971,86.57043836,Oil,Production,
465,Other Africa,1971,0.477643836,Oil,Production,
466,Total Africa,1971,5694.157068,Oil,Production,
467,Australia,1971,315,Oil,Production,
468,Brunei,1971,129,Oil,Production,
469,China,1971,791.4391781,Oil,Production,
470,India,1971,148.2275342,Oil,Production,
471,Indonesia,1971,892,Oil,Production,
472,Malaysia,1971,69,Oil,Production,
473,Thailand,1971,0,Oil,Production,
474,Vietnam,1971,0,Oil,Production,
475,Other Asia Pacific,1971,42.41753425,Oil,Production,
476,Total Asia Pacific,1971,2387.084247,Oil,Production,
477,Total World,1971,50785.24449,Oil,Production,
478,of which: OECD,1971,14268.743,Oil,Production,
479,                 Non-OECD,1971,36516.50149,Oil,Production,
480,                 OPEC,1971,24214.93964,Oil,Production,
481,                 Non-OPEC ,1971,26570.30485,Oil,Production,
482,                 European Union #,1971,671.7922712,Oil,Production,
483,Canada,1972,1829,Oil,Production,
484,Mexico,1972,506,Oil,Production,
485,US,1972,11184.896,Oil,Production,
486,Total North America,1972,13519.896,Oil,Production,
487,Argentina,1972,444.115847,Oil,Production,
488,Brazil,1972,171.1862906,Oil,Production,
489,Colombia,1972,203,Oil,Production,
490,Ecuador,1972,78,Oil,Production,
491,Guyana,1972,0,Oil,Production,
492,Peru,1972,66.6010929,Oil,Production,
493,Trinidad & Tobago,1972,141,Oil,Production,
494,Venezuela,1972,3301,Oil,Production,
495,Other S. & Cent. America,1972,89.23715847,Oil,Production,
496,Total S. & Cent. America,1972,4494.140389,Oil,Production,
497,Denmark,1972,2,Oil,Production,
498,Italy,1972,25.47182514,Oil,Production,
499,Norway,1972,33,Oil,Production,
500,Romania,1972,298.4187978,Oil,Production,
501,United Kingdom,1972,7.861967213,Oil,Production,
502,Other Europe,1972,504.3140164,Oil,Production,
503,Total Europe,1972,871.0666066,Oil,Production,
504,Azerbaijan,1972,0,Oil,Production,
505,Kazakhstan,1972,0,Oil,Production,
506,Russian Federation,1972,0,Oil,Production,
507,Turkmenistan,1972,0,Oil,Production,
508,Uzbekistan,1972,0,Oil,Production,
509,Other CIS,1972,0,Oil,Production,
510,Total CIS,1972,8064.128415,Oil,Production,
511,Iran,1972,5058.957377,Oil,Production,
512,Iraq,1972,1466,Oil,Production,
513,Kuwait,1972,3339,Oil,Production,
514,Oman,1972,282,Oil,Production,
515,Qatar,1972,482,Oil,Production,
516,Saudi Arabia,1972,6070.3,Oil,Production,
517,Syria,1972,117,Oil,Production,
518,United Arab Emirates,1972,1202.7,Oil,Production,
519,Yemen,1972,0,Oil,Production,
520,Other Middle East,1972,70.92989071,Oil,Production,
521,Total Middle East,1972,18088.88727,Oil,Production,
522,Algeria,1972,1081.04918,Oil,Production,
523,Angola,1972,142.8753279,Oil,Production,
524,Chad,1972,0,Oil,Production,
525,Republic of Congo ,1972,6.499672131,Oil,Production,
526,Egypt,1972,207.9562842,Oil,Production,
527,Equatorial Guinea,1972,0,Oil,Production,
528,Gabon,1972,125.8877869,Oil,Production,
529,Libya,1972,2248,Oil,Production,
530,Nigeria,1972,1815.7,Oil,Production,
531,South Sudan,1972,0,Oil,Production,
532,Sudan,1972,0,Oil,Production,
533,Tunisia,1972,83.56046448,Oil,Production,
534,Other Africa,1972,0.57989071,Oil,Production,
535,Total Africa,1972,5712.108607,Oil,Production,
536,Australia,1972,337,Oil,Production,
537,Brunei,1972,182,Oil,Production,
538,China,1972,914.6478142,Oil,Production,
539,India,1972,151.6904098,Oil,Production,
540,Indonesia,1972,1081,Oil,Production,
541,Malaysia,1972,93,Oil,Production,
542,Thailand,1972,0,Oil,Production,
543,Vietnam,1972,0,Oil,Production,
544,Other Asia Pacific,1972,44.29967213,Oil,Production,
545,Total Asia Pacific,1972,2803.637896,Oil,Production,
546,Total World,1972,53553.86518,Oil,Production,
547,of which: OECD,1972,14580.01643,Oil,Production,
548,                 Non-OECD,1972,38973.84875,Oil,Production,
549,                 OPEC,1972,25715.09402,Oil,Production,
550,                 Non-OPEC ,1972,27838.77116,Oil,Production,
551,                 European Union #,1972,660.5240929,Oil,Production,
552,Canada,1973,2114,Oil,Production,
553,Mexico,1973,525,Oil,Production,
554,US,1973,10945.953,Oil,Production,
555,Total North America,1973,13584.953,Oil,Production,
556,Argentina,1973,433.6356164,Oil,Production,
557,Brazil,1973,173.986204,Oil,Production,
558,Colombia,1973,192,Oil,Production,
559,Ecuador,1973,209,Oil,Production,
560,Guyana,1973,0,Oil,Production,
561,Peru,1973,72.59178082,Oil,Production,
562,Trinidad & Tobago,1973,166,Oil,Production,
563,Venezuela,1973,3455,Oil,Production,
564,Other S. & Cent. America,1973,89.73890411,Oil,Production,
565,Total S. & Cent. America,1973,4791.952505,Oil,Production,
566,Denmark,1973,3,Oil,Production,
567,Italy,1973,23.35647123,Oil,Production,
568,Norway,1973,32,Oil,Production,
569,Romania,1973,303.9325205,Oil,Production,
570,United Kingdom,1973,8.825424658,Oil,Production,
571,Other Europe,1973,509.0549589,Oil,Production,
572,Total Europe,1973,880.1693753,Oil,Production,
573,Azerbaijan,1973,0,Oil,Production,
574,Kazakhstan,1973,0,Oil,Production,
575,Russian Federation,1973,0,Oil,Production,
576,Turkmenistan,1973,0,Oil,Production,
577,Uzbekistan,1973,0,Oil,Production,
578,Other CIS,1973,0,Oil,Production,
579,Total CIS,1973,8664.421918,Oil,Production,
580,Iran,1973,5907.37589,Oil,Production,
581,Iraq,1973,2018,Oil,Production,
582,Kuwait,1973,3080,Oil,Production,
583,Oman,1973,293,Oil,Production,
584,Qatar,1973,570,Oil,Production,
585,Saudi Arabia,1973,7693.2,Oil,Production,
586,Syria,1973,111,Oil,Production,
587,United Arab Emirates,1973,1532.6,Oil,Production,
588,Yemen,1973,0,Oil,Production,
589,Other Middle East,1973,68.74634247,Oil,Production,
590,Total Middle East,1973,21273.92223,Oil,Production,
591,Algeria,1973,1128.74,Oil,Production,
592,Angola,1973,165.9636986,Oil,Production,
593,Chad,1973,0,Oil,Production,
594,Republic of Congo ,1973,40.55967123,Oil,Production,
595,Egypt,1973,164.9339726,Oil,Production,
596,Equatorial Guinea,1973,0,Oil,Production,
597,Gabon,1973,152.148137,Oil,Production,
598,Libya,1973,2211,Oil,Production,
599,Nigeria,1973,2054.3,Oil,Production,
600,South Sudan,1973,0,Oil,Production,
601,Sudan,1973,0,Oil,Production,
602,Tunisia,1973,81.70361644,Oil,Production,
603,Other Africa,1973,0.872219178,Oil,Production,
604,Total Africa,1973,6000.221315,Oil,Production,
